GeneSymbol	Accession	logFC_Pr	pvals_Pr	UniquePeptides	controlOE1	controlOE2	controlOE3	controlOE4	Foxk1OE1	Foxk1OE2	Foxk1OE3	Foxk1OE4
Ak2	Q9WTP6	0.501877	0.01214287	10	0.992	1.063	1.03	0.864	1.438	1.287	1.415	1.452
Ak3	Q9WTP7	-0.1842771	0.01448257	14	0.998	1.04	0.946	1.019	0.883	0.865	0.885	0.89
Ak4	Q9WUR9	1.03945	0.000954699	6	1.091	0.974	0.993	0.946	2.154	1.834	2.042	2.2
Akap1	O08715	0.1735962	0.0166633	9	1.023	0.98	0.985	1.024	1.125	1.159	1.15	1.091
Akap10	O88845	0.09100154	0.3672047	2	0.953	0.977	0.982	1.112	1.047	1.155	1.083	1.001
Akap12	Q9WTQ5	-1.052169	0.001125674	16	0.925	1.027	1.058	0.932	0.473	0.468	0.458	0.502
Akap13	E9Q394	-0.3418777	0.02849618	24	1.013	0.987	0.967	1.038	0.725	0.905	0.8	0.73
Akap2	O54931	-0.3809546	0.0269779	9	0.992	1.05	1.065	0.853	0.81	0.73	0.74	0.761
Akap7	O55074	0.2205147	0.1414597	1	1.032	1.104	0.996	0.822	1.002	1.187	1.292	1.126
Akap8	Q9DBR0	0.4816719	0.01137576	5	1.005	1.033	1.111	0.918	1.522	1.246	1.479	1.432
Akap8l	Q9R0L7	0.1736222	0.1646812	4	1.104	1.069	0.968	0.886	1.132	1.087	1.117	1.206
Akap9	Q70FJ1	0.02692008	0.6834435	32	0.971	1.025	1	0.986	0.951	1.151	1.037	0.918
Akr1a1	Q9JII6	-0.3220181	0.000133635	15	1.018	1.013	0.982	0.996	0.825	0.79	0.795	0.797
Akr1b1	P45376	-0.1770037	0.125268	14	0.982	1.143	0.935	0.924	0.837	0.903	0.957	0.827
Akr1b7	P21300	1.721519	0.00194936	1	1.069	1.037	0.926	0.987	3.539	3.802	3.224	2.689
Akr1b8	P45377	0.3131228	0.000557963	8	1.029	0.991	1.012	0.978	1.291	1.228	1.214	1.249
Akr1c13	Q8VC28	-0.9556059	0.04179338	1	0.93	0.811	1.21	1.017	0.681	0.523	0.35	0.492
Akr1e2	Q9DCT1	-0.1997555	0.08391104	3	1.03	0.98	1	1.058	0.837	0.969	0.916	0.82
Akr7a2	Q8CG76	-0.1637167	0.03525585	11	0.991	1.063	0.976	0.941	0.874	0.896	0.949	0.826
Akt1	P31750	-0.6728353	0.002433571	5	0.955	0.955	0.961	1.089	0.627	0.661	0.578	0.618
Akt1s1	Q9D1F4	0.1701687	0.3274321	2	1.018	0.98	1.107	0.841	1.162	0.924	1.099	1.255
Akt2	Q60823	0.4763146	2.65E-05	11	1.03	0.976	0.982	1.028	1.433	1.343	1.376	1.435
Alad	P10518	0.1444938	0.2452825	8	1.007	1.008	0.988	0.965	1.225	0.949	1.012	1.2
Alas1	Q8VC19	0.5064416	0.000206949	7	1.002	1.005	1.005	1.009	1.39	1.479	1.404	1.439
Alb	P07724	0.2058492	0.2212772	2	0.96	1.101	1.056	0.88	1.259	1.125	1	1.226
Alcam	Q61490	0.2072964	0.009261228	6	1.009	0.974	1.05	0.947	1.222	1.118	1.14	1.115
Aldh16a1	Q571I9	0.02201546	0.6900279	8	1.01	0.975	0.971	1.076	1.014	1.07	1.008	1.002
Aldh18a1	Q9Z110	0.9710292	9.10E-05	22	1.013	0.969	0.975	1.067	1.993	2.018	1.921	1.956
Aldh1a1	P24549	-0.191567	0.03298381	1	0.992	1.069	0.938	1.014	0.784	0.93	0.888	0.912
Aldh1a7	O35945	0.2708995	0.005898491	9	1.034	1.014	0.95	0.996	1.203	1.223	1.238	1.155
Aldh1l1	Q8R0Y6	-0.4462517	0.007940547	14	1.025	0.982	0.964	1.047	0.678	0.774	0.782	0.715
Aldh1l2	Q8K009	1.828454	0.000247081	28	1.036	0.954	0.963	1.081	3.446	3.78	3.705	3.396
Aldh2	P47738	0.06515362	0.1979935	16	1.02	0.998	1.018	0.947	1.087	0.968	1.063	1.049
Aldh3a1	P47739	-2.626825	0.000218019	6	0.897	0.992	1.012	1.12	0.149	0.176	0.135	0.191
Aldh3a2	P47740	0.2777321	0.001133375	9	1.018	0.958	1.001	1.027	1.2	1.218	1.215	1.221
Aldh3b1	Q80VQ0	-0.4012878	0.000905163	2	1.001	0.971	1.019	1.012	0.723	0.732	0.825	0.751
Aldh3b2	E9Q3E1	-0.3398946	0.003329079	6	1.045	0.958	1.023	1.014	0.797	0.818	0.803	0.774
Aldh3b3	J3QMK6	0.01526676	0.7495149	2	1.06	0.978	1.025	0.979	1.049	0.929	1.032	1.075
Aldh4a1	Q8CHT0	0.2199221	0.000468985	16	1.007	1.003	1.005	0.993	1.2	1.158	1.169	1.141
Aldh5a1	Q8BWF0	-1.012965	0.000236434	14	0.989	1.011	0.972	1.052	0.464	0.544	0.502	0.484
Aldh6a1	Q9EQ20	0.02074312	0.6519589	23	1.025	1.05	0.967	0.963	0.999	1.033	1.067	0.964
Aldh7a1	Q9DBF1	-0.3187026	0.00253633	16	1.014	0.981	1.016	1.01	0.862	0.754	0.774	0.834
Aldh9a1	Q9JLJ2	0.0552092	0.5047359	17	0.963	1.158	0.963	0.915	1.005	1.088	1.14	0.922
Aldoa	P05064	1.429883	0.000451223	15	0.997	1.052	1.009	0.906	2.706	2.449	2.758	2.767
Aldoc	P05063	0.6191495	0.007176144	1	0.784	1.23	1.037	0.869	1.521	1.594	1.585	1.321
Alg1	Q921Q3	0.2210615	0.000271536	5	1.017	0.977	0.998	1.036	1.205	1.131	1.17	1.189
Alg10b	Q3UGP8	0.1770575	0.006091043	3	1.012	1.007	0.974	1.02	1.143	1.116	1.158	1.12
Alg11	Q3TZM9	0.2632158	0.06454672	6	1.004	1.011	1.027	0.935	1.24	1.121	1.098	1.314
Alg12	Q8VDB2	0.1020425	0.05146363	1	1.023	0.942	0.998	1.062	1.044	1.061	1.105	1.11
Alg13	Q9D8C3	0.6867694	0.03088268	1	0.442	1.085	1.265	1.115	1.479	1.525	1.833	1.452
Alg14	Q9D081	0.3863719	0.005261359	3	1.036	0.996	0.956	1.053	1.221	1.329	1.324	1.408
Alg2	Q9DBE8	0.2858395	0.001479882	7	0.99	0.967	1.007	1.011	1.237	1.144	1.2	1.265
Alg3	Q8K2A8	0.5748938	0.003555868	1	1.001	1.047	0.93	1.048	1.477	1.38	1.516	1.624
Alg5	Q9DB25	-0.1116784	0.052275	5	0.984	1.014	0.99	1.026	0.958	0.88	0.899	0.978
Alg9	Q8VDI9	0.05886508	0.4684819	3	0.997	0.975	0.971	1.091	1.036	1.121	1.049	0.996
Alkbh3	Q8K1E6	0.1472918	0.2845705	5	0.887	1.164	0.965	0.91	0.895	1.312	1.28	0.861
Alkbh5	Q3TSG4	0.3176818	0.00969332	4	0.989	1.002	1.006	1.018	1.181	1.34	1.303	1.18
Alkbh7	Q9D6Z0	-0.3162144	0.369118	1	0.87	1.011	0.886	1.328	0.66	1.072	0.968	0.589
Alpl	P09242	-0.01355685	0.9289609	1	1.008	0.915	1.133	0.9	0.972	1.119	0.879	0.949
Alyref	O08583	-0.06319383	0.7643443	6	0.882	1.002	0.936	1.24	0.821	1.125	1.111	0.829
Amacr	O09174	0.2800446	0.000456746	15	1.004	1.002	0.983	1.03	1.25	1.201	1.173	1.256
Ambra1	A2AH22	-0.1721142	0.4508767	3	0.742	1.068	0.977	1.17	1.014	0.844	0.766	0.888
Amdhd2	Q8JZV7	0.2718452	0.04946356	8	0.955	1.069	1.036	0.885	1.218	1.11	1.211	1.224
Amer1	Q7TS75	-0.837767	0.0010308	1	1.011	1.005	1.011	0.964	0.492	0.652	0.555	0.534
Amfr	Q9R049	-0.1654069	0.06075149	6	1.019	0.98	0.983	1.043	0.886	0.974	0.868	0.861
Amotl1	Q9D4H4	0.1579308	0.03319853	5	0.991	0.945	1.088	0.935	1.084	1.146	1.146	1.041
Amotl2	Q8K371	0.05472948	0.2033596	4	1.06	0.885	1.039	0.999	1.068	0.992	1.044	1.033
Ampd2	Q9DBT5	0.1082269	0.1430652	5	0.995	0.986	1.039	0.985	1.047	1.156	1.023	1.091
Ampd3	O08739	0.3410369	0.002994363	5	1.002	0.974	1.004	1.01	1.27	1.319	1.205	1.26
Amy1	P00687	0.3685202	0.06953431	2	0.88	1.08	0.932	1.087	0.899	1.609	1.239	1.39
Anapc1	P53995	-0.03408385	0.2278609	11	1.006	0.991	0.996	1.033	0.953	0.977	1.012	0.99
Anapc10	Q8K2H6	-0.1418446	0.01708346	1	0.98	1.01	1.013	0.991	0.883	0.965	0.921	0.851
Anapc2	Q8BZQ7	0.3033921	0.004568964	4	0.991	1.018	1.022	1.011	1.208	1.302	1.18	1.298
Anapc4	Q91W96	-0.1826599	0.0310938	5	0.997	1.008	1.003	1.003	0.919	0.845	0.822	0.948
Anapc5	Q8BTZ4	-0.07689756	0.1686918	5	0.978	1.014	0.987	1.009	0.997	0.923	0.882	0.979
Anapc7	Q9WVM3	-0.07918314	0.2799378	3	0.995	1.021	1.024	0.967	0.99	0.887	0.914	1.002
Angel2	Q8K1C0	0.3508327	0.002410215	4	1.029	1.035	0.947	0.952	1.293	1.234	1.281	1.246
Angpt1	O08538	-0.7802033	0.006831188	3	0.93	1.055	0.977	1.091	0.496	0.713	0.658	0.493
Angptl2	Q9R045	-0.5665659	0.03572569	4	0.961	1	0.986	1.105	0.589	0.815	0.794	0.538
Angptl4	Q9Z1P8	0.02327267	0.6695295	3	0.959	1.016	1.033	0.989	1.043	0.936	1.064	1.019
Ankfy1	Q810B6	-0.1688745	0.00989606	14	0.983	0.968	0.992	1.004	0.889	0.886	0.828	0.908
Ankib1	Q6ZPS6	0.4133168	0.008723093	2	1.043	0.885	1.052	1.005	1.367	1.37	1.308	1.262
Ankle2	Q6P1H6	-0.1003166	0.1856422	13	1.027	0.969	0.982	0.982	0.892	0.994	0.953	0.855
Ankmy2	Q3TPE9	-0.3000116	0.3205643	2	1.359	1.269	0.665	0.888	1.018	0.683	0.658	1.037
Ankrd11	E9Q4F7	-0.0836747	0.7048066	2	0.973	1.034	1.204	0.64	0.898	1.013	0.826	0.897
Ankrd13a	Q80UP5	-0.1730931	0.02111858	3	0.994	0.963	1.054	0.978	0.885	0.918	0.922	0.813
Ankrd13c	Q3UX43	-0.3022258	0.3037348	2	1.144	0.938	1.492	1.135	1.148	0.857	0.733	1.081
Ankrd17	Q99NH0	-0.07716786	0.4607367	23	1.013	1.022	0.947	1.05	0.917	1.052	1.011	0.842
Ankrd24	Q80VM7	0.3692102	0.1416099	1	0.772	0.751	1.332	1.095	0.917	1.451	1.601	1.133
Ankrd28	Q505D1	0.02736565	0.6577503	1	1.031	1.003	0.958	1.029	0.997	1.13	0.986	0.985
Ankrd44	B2RXR6	-0.2173125	0.01891931	9	0.97	1.004	1.041	0.954	0.897	0.815	0.851	0.851
Ankrd46	Q8BTZ5	-0.09391622	0.6454387	1	0.962	1.042	1.092	0.839	0.952	0.841	0.798	1.096
Ankrd49	Q8VE42	0.2569988	0.3284743	2	0.993	1.004	1.257	0.818	1.491	1.107	1.015	1.253
Anks1a	P59672	0.09510437	0.1290165	5	0.994	0.988	1.025	1.058	1.094	1.116	1.099	1.033
Anks6	Q6GQX6	-0.4631663	0.04323066	1	0.991	0.928	1.037	1.057	0.597	0.85	0.831	0.633
Ankzf1	Q80UU1	0.2575937	0.0010613	8	1.012	0.991	0.988	0.994	1.163	1.21	1.184	1.207
Ano10	Q8BH79	0.0879689	0.03762805	9	1.047	0.975	0.989	1.013	1.104	1.029	1.018	1.126
Ano6	Q6P9J9	0.02981321	0.597794	7	1.045	0.992	1.013	0.973	1.085	0.954	0.981	1.087
Ano8	Q6PB70	-0.4597423	0.005982635	4	0.975	1.034	0.968	1.087	0.696	0.833	0.725	0.701
Anp32a	O35381	0.3351751	0.3659252	4	0.99	1.104	1.074	0.713	1.478	0.888	1.009	1.521
Anp32b	Q9EST5	0.1299215	0.6313075	4	0.949	1.096	1.046	0.846	1.244	0.815	0.934	1.315
Anp32e	P97822	0.1824924	0.5089554	3	0.934	1.116	1.064	0.861	1.317	0.844	1.006	1.344
Anpep	P97449	-1.162805	0.003062528	9	0.934	0.975	1.024	1.059	0.51	0.509	0.37	0.394
Antxr2	Q6DFX2	-0.7618091	0.01619587	1	0.766	1.043	1.01	1.203	0.587	0.595	0.567	0.623
Anxa1	P10107	-1.044755	0.000158459	17	0.983	0.964	1.038	1.009	0.503	0.444	0.465	0.524
Anxa11	P97384	-0.3127874	0.000986627	12	1.046	0.939	1.005	1.022	0.83	0.78	0.781	0.839
Anxa2	P07356	-0.9545794	0.000529398	17	0.977	0.974	1.039	1.012	0.549	0.467	0.48	0.569
Anxa3	O35639	-0.1586551	0.4143777	11	0.932	1.068	1.083	0.854	0.93	0.732	0.863	1.002
Anxa4	P97429	0.08246216	0.2507238	12	1.02	0.972	1.033	0.97	1.123	0.954	1.03	1.123
Anxa5	P48036	0.2158098	0.1624049	17	1.019	0.992	1.044	0.899	1.228	0.995	1.088	1.281
Anxa6	P14824	-0.100729	0.351909	31	1.008	0.996	1.063	0.907	0.989	0.839	0.888	0.99
Anxa7	Q07076	-0.2828196	0.001488959	15	1.008	0.982	1.008	0.996	0.862	0.823	0.792	0.806
Anxa8	O35640	-0.5107055	0.02923204	12	1.043	0.97	1.075	0.85	0.78	0.613	0.623	0.748
Aoc3	O70423	-0.2453517	0.01209782	14	1.028	0.984	0.993	1.017	0.833	0.911	0.826	0.823
Aox1	O54754	-0.2036652	0.02123072	6	1.015	1.001	0.927	1.037	0.883	0.891	0.856	0.826
Ap1b1	O35643	-0.0560411	0.1574024	12	1.031	0.97	0.981	1.06	0.989	0.987	0.934	0.978
Ap1g1	P22892	0.0916746	0.07029389	16	1.002	1.009	0.999	1.014	1.133	1.041	1.027	1.087
Ap1g2	O88512	0.05750247	0.437839	1	0.983	0.912	1.096	0.993	1.073	1.041	1.018	1.014
Ap1m1	P35585	0.04787874	0.01180848	11	1.042	1.032	0.977	1.009	1.088	1.055	1.001	1.053
Ap1s1	P61967	0.04010209	0.4599673	3	0.922	1.026	1.008	1.053	1.037	0.985	1.006	1.094
Ap1s2	Q9DB50	-0.810941	0.000690879	1	0.977	0.984	0.979	1.088	0.606	0.571	0.543	0.576
Ap2a1	P17426	-0.2737768	0.005450417	17	0.98	0.979	0.987	1.098	0.851	0.815	0.824	0.855
Ap2a2	P17427	-0.4070586	0.002163374	17	0.984	0.976	0.992	1.075	0.807	0.719	0.73	0.781
Ap2b1	Q9DBG3	-0.30557	0.003871852	12	0.995	0.96	0.992	1.087	0.818	0.814	0.803	0.829
Ap2m1	P84091	-0.4055273	0.0133815	18	0.947	0.991	0.97	1.124	0.759	0.799	0.748	0.738
Ap2s1	P62743	-0.4426628	0.003774598	3	0.982	1.051	0.992	1.07	0.801	0.729	0.674	0.809
Ap3b1	Q9Z1T1	-0.2504325	0.005526292	23	0.985	1.006	0.993	1.051	0.857	0.889	0.8	0.846
Ap3d1	O54774	-0.1431822	0.004392828	13	0.962	1.072	0.973	1.015	0.848	0.983	0.91	0.901
Ap3m1	Q9JKC8	-0.1199335	0.1662539	9	0.949	1.057	0.97	1.023	0.863	1.032	0.963	0.822
Ap3m2	Q8R2R9	-3.706908	0.03081689	1	0.609	1.268	1.257	0.666	0	0	0	0.291
Ap3s1	Q9DCR2	-0.2321734	0.007498055	6	1.015	0.983	0.998	1	0.879	0.882	0.787	0.854
Ap4e1	Q80V94	-0.1957727	0.09567298	3	0.952	1.121	0.989	1.028	0.966	0.874	0.857	0.874
Ap4m1	Q9JKC7	0.1428422	0.2437741	3	1.025	1.017	0.96	0.995	0.965	1.152	1.243	1.053
Ap5b1	Q3TAP4	-0.05295228	0.3951658	2	0.952	1.033	1.032	0.951	0.964	0.934	0.936	0.991
Ap5m1	Q8BJ63	-0.07836233	0.2675505	1	0.981	0.986	1.006	1.037	0.915	1.032	0.958	0.893
Ap5s1	Q9D742	-0.243249	0.001422147	1	0.992	1.024	1.017	0.95	0.839	0.831	0.883	0.812
Ap5z1	Q3U829	-0.2652718	0.005688473	6	1.025	1.005	1.004	0.967	0.859	0.79	0.817	0.863
Apaf1	O88879	-0.2259301	0.396598	1	0.762	0.85	1.161	1.242	0.691	0.93	1.148	0.664
Apba3	O88888	0.08088071	0.6176407	2	0.956	1.06	0.959	1.031	1.132	0.818	1.038	1.249
Apbb1ip	Q8R5A3	-0.490429	0.07348019	3	0.973	0.965	0.964	1.085	0.495	0.938	0.762	0.643
Apbb2	Q9DBR4	0.3734521	0.01194636	1	1.069	0.968	0.971	1.013	1.262	1.403	1.3	1.244
Apc	Q61315	0.07311266	0.5909862	5	1.07	0.909	0.946	1.057	0.963	1.154	1.095	0.977
Apeh	Q8R146	0.1895883	0.04566775	19	1.045	0.986	0.964	1.021	1.151	1.206	1.165	1.058
Apex1	P28352	0.04559048	0.2966012	6	1.001	0.999	0.966	1.052	1.048	1.026	1.055	1.018
Aph1a	Q8BVF7	-0.4345457	0.0557193	1	1.036	0.912	0.902	1.245	0.622	0.832	0.748	0.828
Api5	O35841	0.1522545	0.02455328	13	0.957	1.052	0.992	1.015	1.078	1.087	1.127	1.171
Apip	Q9WVQ5	0.3837786	0.02048224	8	0.962	1.151	0.995	0.846	1.26	1.265	1.408	1.226
Aplf	Q9D842	-0.2659155	0.01200216	1	1.053	1.019	0.957	0.981	0.819	0.915	0.75	0.851
Aplp2	Q06335	0.04873949	0.7857784	6	0.984	1.019	1.111	0.844	1.117	0.896	0.928	1.153
Apmap	Q9D7N9	0.2880454	0.000105118	16	1.05	0.967	0.986	1.038	1.295	1.193	1.199	1.247
Apoa1	Q00623	0.2249152	0.4848515	1	0.903	1.128	1.069	0.818	1.278	0.915	0.92	1.466
Apobr	Q8VBT6	0.09763132	0.4456751	3	1.031	0.964	1.114	0.833	1.059	1.131	0.979	1.049
Apoc1	P34928	1.874368	0.02980085	3	0.933	1.001	1.144	0.828	4.376	2.173	2.948	4.824
Apoc3	P33622	-0.4010601	0.1407379	1	0.944	1.018	1.197	0.71	0.812	0.756	0.648	0.714
Apod	P51910	-1.597315	6.22E-05	4	0.944	1.063	0.965	1.016	0.312	0.344	0.327	0.335
Apoh	Q01339	0.479064	0.0640373	1	0.942	1.095	1.071	0.82	1.345	1.312	1.237	1.581
Apom	Q9Z1R3	0.08701421	0.4607787	1	0.954	1.077	1.006	0.936	1.065	0.968	1.016	1.171
Apoo	Q9DCZ4	0.2954692	0.005877816	2	1.013	1.002	0.971	1.031	1.155	1.276	1.253	1.246
Apool	Q78IK4	-0.01899752	0.8356353	13	0.985	1.05	0.994	0.946	1.008	0.892	0.96	1.063
App	P12023	0.6310756	0.006856705	9	0.96	1.013	1.071	0.938	1.6	1.488	1.424	1.655
Appl1	Q8K3H0	-0.1436118	0.05372401	7	1.026	0.944	1.011	1.019	0.906	0.941	0.88	0.894
Appl2	Q8K3G9	-0.2165675	0.05617798	5	1.027	1.018	1.052	0.899	0.909	0.844	0.811	0.875
Aprt	P08030	-0.202783	0.03783552	4	0.961	1.047	1.006	1.005	0.899	0.859	0.803	0.931
Aqp1	Q02013	-0.4988372	0.00500662	2	0.922	1.046	0.997	1.034	0.739	0.745	0.628	0.718
Aqp7	O54794	-0.4106148	0.01242472	1	0.877	0.973	1.034	1.133	0.594	0.819	0.837	0.772
Aqr	Q8CFQ3	0.5143608	0.004623384	5	1.117	0.969	0.968	1.022	1.39	1.414	1.473	1.545
Araf	P04627	-0.2716475	0.01809275	10	1.015	0.993	0.981	1.043	0.816	0.908	0.831	0.785
Arap1	Q4LDD4	-1.552517	0.006215368	8	0.959	0.927	0.923	1.236	0.334	0.459	0.281	0.305
Arcn1	Q5XJY5	0.07596737	0.01293986	18	1.028	0.983	1	0.984	1.099	1.053	1.046	1.013
Arf3	P61205	0.07601341	0.3268669	3	1.044	1.006	0.988	0.973	1.095	0.979	0.996	1.158
Arf4	P61750	-0.1652555	0.04404651	3	1.058	0.994	0.975	0.983	0.906	0.87	0.83	0.97
Arf5	P84084	-0.03169285	0.316393	3	1.02	1.004	0.977	1.003	1.014	0.934	0.951	1.018
Arf6	P62331	-0.1035997	0.2866433	3	0.987	0.961	0.999	1.065	1.056	0.795	0.857	1.026
Chd8	Q09XV5	0.07870558	0.1026829	5	0.915	0.988	1.073	1.019	1.009	1.041	1.161	1.008
Chek2	Q9Z265	0.4456925	0.0225966	1	1.236	0.917	0.851	1.082	1.443	1.226	1.459	1.437
Cherp	Q8CGZ0	0.06519149	0.2291894	4	0.993	0.926	1.036	1.004	1.128	0.956	1.036	1.022
Chid1	Q922Q9	0.272611	0.001610089	5	1.03	1.012	0.979	1.008	1.22	1.178	1.213	1.256
Chkb	O55229	-0.1341498	0.05855493	7	1.021	0.964	1.004	0.964	0.93	0.807	0.914	0.951
Chm	Q9QXG2	0.2574091	0.07463227	6	0.999	1.031	1.029	0.924	1.27	1.147	1.065	1.279
Chmp1a	Q921W0	-0.0940567	0.204656	6	1.002	0.993	1.052	0.914	0.924	0.877	0.945	0.965
Chmp1b1	Q99LU0	-0.18264	0.008457211	3	0.989	1.005	1.027	0.982	0.814	0.901	0.939	0.873
Chmp1b2	Q9CQD4	-0.2012366	0.006788646	2	0.992	1.028	0.991	0.983	0.876	0.86	0.837	0.901
Chmp2a	Q9DB34	0.09408033	0.03514911	5	0.949	1.03	0.984	1.029	1.028	1.07	1.098	1.065
Chmp2b	Q8BJF9	-0.3731556	1.68E-05	7	1.003	1.017	0.991	0.995	0.775	0.794	0.77	0.754
Chmp3	Q9CQ10	-0.1793714	0.07558374	6	0.99	1.033	1.016	0.964	0.92	0.843	0.825	0.947
Chmp4b	Q9D8B3	0.03452276	0.7003271	6	0.978	1.032	1.029	0.925	1.026	0.95	0.986	1.098
Chmp5	Q9D7S9	0.06870418	0.5780052	3	0.962	1.02	1.056	0.878	1.08	0.947	0.971	1.109
Chmp6	P0C0A3	-0.09534564	0.07288003	4	0.972	1.066	1.006	0.959	0.861	0.968	0.979	0.939
Chmp7	Q8R1T1	0.01399327	0.7857064	5	1.081	0.987	1.043	0.993	1.155	0.997	0.96	1.032
Chordc1	Q9D1P4	0.1097741	0.02729911	8	1.018	1.02	0.985	0.974	1.096	1.141	1.075	1.001
Chp1	P61022	0.01048186	0.9431207	7	1.026	0.98	1.115	0.856	1.109	0.853	0.952	1.092
Chpt1	Q8C025	0.466885	0.04259861	2	1.017	1.037	1.039	0.856	1.5	1.23	1.232	1.496
Chst11	Q9JME2	-0.1103874	0.3134517	1	1.032	0.87	1.037	1.093	0.845	0.968	0.957	0.965
Chst12	Q99LL3	-0.4007815	0.01563069	1	0.96	1.018	0.958	1.092	0.711	0.812	0.813	0.715
Chst14	Q80V53	-0.7705406	0.2672766	1	0.498	1.208	1.363	0.713	0.597	0	1.005	0.615
Chsy1	Q6ZQ11	-0.4198091	0.1395304	1	1.234	0.971	0.729	1.205	0.94	0.486	0.842	0.826
Chtf8	P0CG14	0.172088	0.6146718	3	0.991	1.093	0.841	1.148	0.901	1.378	1.532	0.778
Chtop	Q9CY57	-0.1783372	0.4342116	4	0.875	1.085	0.886	1.153	0.734	1.042	1.056	0.702
Chuk	Q60680	0	1	7	1	0.966	1.036	1.013	1.055	1.036	0.963	0.961
Ciao1	Q99KN2	0.06597966	0.6475828	4	0.976	1.071	1.038	0.847	1.111	0.933	0.969	1.103
Ciapin1	Q8WTY4	0.6706309	0.04882171	5	0.979	1.019	1.157	0.757	1.631	1.268	1.516	1.812
Cic	Q924A2	-0.02167877	0.900423	4	1.096	0.89	0.923	1.114	0.979	1.039	1.108	0.837
Cidec	P56198	-1.276387	0.000364676	4	0.986	1.042	0.943	1.067	0.404	0.446	0.426	0.391
Cirbp	P60824	-0.8524817	0.009083868	4	0.959	1.027	0.953	1.185	0.512	0.591	0.659	0.522
Cisd1	Q91WS0	0.4777694	0.003037478	5	1.038	0.976	1.038	0.942	1.465	1.291	1.363	1.443
