GeneSymbol	Geneid	Chromosome	logFC_RNA	Fold FC	logCPM	PValue	FDR_RNA	K1ControlOE_1	K1ControlOE_2	K1ControlOE_3	Foxk1OE_1	Foxk1OE_2	Foxk1OE_3
Dlk1	ENSMUSG00000040856.17	chr12	-2.030036122	0.245	7.791485013	8.42E-176	1.27E-172	66.79738894	52.25145817	69.09884289	15.54107862	15.72443955	15.16164811
Ddit4	ENSMUSG00000020108.3	chr10	2.098739054	4.283	6.804000581	6.66E-174	9.77E-171	19.84042031	31.44038064	23.58725253	99.64840053	111.4051554	111.6054144
Antxr1	ENSMUSG00000033420.12	chr6	-2.575794917	0.168	4.969628592	2.32E-170	3.30E-167	5.954167635	5.155524219	5.76509342	0.943173701	0.971032737	0.937148336
Clca3a1	ENSMUSG00000056025.12	chr3	-2.057001836	0.24	6.741134283	7.12E-168	9.85E-165	44.51239787	43.63342089	44.25844461	10.66993975	10.16824197	11.23349235
Atp2a3	ENSMUSG00000020788.15	chr11	2.195812144	4.581	5.798035508	7.11E-167	9.57E-164	3.442876498	4.229020757	3.551116584	16.2623154	17.55491541	17.93354044
Gdpd2	ENSMUSG00000019359.14	chrX	-3.873702063	0.068	3.429756938	6.38E-164	8.36E-161	4.766216222	3.868982725	4.508128985	0.209102864	0.347549923	0.340203328
Gas1	ENSMUSG00000052957.7	chr13	-1.907244838	0.267	7.890089965	2.16E-157	2.75E-154	127.7966973	113.079619	137.3754312	33.65132346	34.82593132	33.14982126
Cyp2f2	ENSMUSG00000052974.8	chr7	-1.906812374	0.267	7.450516949	8.25E-154	1.02E-150	148.0034334	120.3201101	139.5721586	37.38682329	36.36315619	35.87680691
Gfra1	ENSMUSG00000025089.15	chr19	3.042993912	8.242	4.019926869	1.78E-153	2.15E-150	0.662107803	0.653391182	0.564290824	5.367883582	5.274560764	4.982313765
Slit2	ENSMUSG00000031558.15	chr5	-2.687903679	0.155	4.362951981	1.88E-150	2.23E-147	1.368985419	1.306982918	1.527103145	0.189469409	0.216505543	0.250718424
Rnase4	ENSMUSG00000021876.14	chr14	-2.243306881	0.211	5.164280999	1.66E-143	1.91E-140	31.20078626	28.73894801	28.98729717	6.357435935	5.59265787	6.991570399
Ear2	ENSMUSG00000072596.4	chr14	-3.077162096	0.118	3.678932426	1.69E-139	1.86E-136	30.92362493	36.51972727	28.45383236	3.425493318	3.481088304	4.506992233
Inpp4b	ENSMUSG00000037940.16	chr8	2.575710054	5.962	4.361964325	2.05E-137	2.20E-134	0.318459098	0.604308205	0.433917771	2.811658399	2.488924134	2.809551183
Pgm5	ENSMUSG00000041731.13	chr19	-5.517848303	0.022	2.531887564	2.13E-136	2.25E-133	2.864557037	2.876669945	3.644247792	0.074137289	0.055450623	0.072371325
Nid2	ENSMUSG00000021806.3	chr14	-2.358401198	0.195	4.654198807	2.19E-135	2.25E-132	9.072116134	7.644932315	9.141275499	1.841737835	1.67065154	1.5731339
Adrb3	ENSMUSG00000031489.15	chr8	-2.617429847	0.163	4.095126605	1.73E-131	1.74E-128	9.570914108	7.042709865	9.468632196	1.189468674	1.734831703	1.346916972
Sfrp2	ENSMUSG00000027996.13	chr3	-3.692750085	0.077	3.052347145	9.71E-130	9.41E-127	9.014478067	5.762878314	6.631766074	0.646581838	0.534758544	0.485523188
Adgra2	ENSMUSG00000031486.15	chr8	-1.867454735	0.274	6.031974003	1.25E-129	1.19E-126	19.43494626	15.00938727	18.77374262	5.052876658	4.82810974	4.823910383
Figf	ENSMUSG00000031380.10	chrX	-1.899313486	0.268	5.811962972	1.73E-129	1.62E-126	41.27362918	33.45599534	35.42201673	10.4949337	9.146819734	10.1364156
Col11a1	ENSMUSG00000027966.19	chr3	-1.957780392	0.257	5.465110923	3.46E-129	3.16E-126	5.655315447	5.26854848	5.608969342	1.527005642	1.404048066	1.359226514
Thbs1	ENSMUSG00000040152.8	chr2	-1.791872794	0.289	6.448692933	2.66E-126	2.39E-123	25.20653466	19.06218442	22.50207267	6.859153141	6.272711331	6.308479616
Adamts1	ENSMUSG00000022893.14	chr16	-1.676971412	0.313	8.281595254	9.46E-126	8.33E-123	97.40650791	76.80046827	93.11890794	28.5281042	26.6529375	29.08079689
Elovl3	ENSMUSG00000038754.4	chr19	3.043324432	8.244	3.519011867	1.08E-123	9.32E-121	1.427554267	2.047247226	1.390760809	13.97681423	13.67047144	12.62933883
Igfbp3	ENSMUSG00000020427.11	chr11	-1.929628006	0.262	5.358940533	2.68E-123	2.28E-120	21.71946282	19.06431567	21.41286298	5.610785805	5.485594597	5.360245803
Tspan11	ENSMUSG00000030351.5	chr6	-3.30653462	0.101	3.157236862	1.97E-120	1.61E-117	3.193542892	2.416288129	3.491103298	0.331746967	0.281964231	0.31403122
Maf	ENSMUSG00000055435.6	chr8	-2.017865199	0.247	5.176473407	2.35E-120	1.90E-117	7.712222912	6.246402414	7.117800959	1.955603315	1.652201135	1.642645546
Chrdl1	ENSMUSG00000031283.16	chrX	-1.706542295	0.306	6.846265111	7.94E-120	6.30E-117	28.17441422	25.00333296	24.80155811	8.532802611	7.629445296	7.919646187
Prelp	ENSMUSG00000041577.5	chr1	-1.674971537	0.313	7.305367632	9.30E-120	7.27E-117	68.28981276	63.15285671	67.85243659	21.16499209	20.27247163	21.47050021
Islr	ENSMUSG00000037206.14	chr9	-2.676884134	0.156	3.757846434	2.11E-119	1.62E-116	10.26065242	9.511965937	10.0488172	1.137254671	1.637412844	1.90948391
Pde4d	ENSMUSG00000021699.17	chr13	2.027646447	4.077	5.142473454	1.22E-118	9.23E-116	1.021439691	1.417975399	1.002878994	4.673660128	4.636394419	4.793061379
Sorcs2	ENSMUSG00000029093.14	chr5	-3.077687874	0.118	3.298090881	7.10E-118	5.29E-115	2.029301962	1.848897194	2.11243083	0.23115134	0.210423522	0.273149543
Thbd	ENSMUSG00000074743.4	chr2	-1.796742949	0.288	5.863227251	8.17E-118	5.99E-115	26.48055648	21.7785172	24.41318404	7.420802082	7.368200725	6.289396698
Aspg	ENSMUSG00000037686.5	chr12	2.525477193	5.758	3.975801711	1.41E-116	1.02E-113	1.756487433	1.394146009	1.833097618	9.54426413	9.839375092	9.661280551
Gm2115	ENSMUSG00000097789.2	chr7	-2.611240731	0.164	3.769094399	3.41E-115	2.43E-112	3.632094813	2.775387735	3.157414736	0.59085803	0.559231619	0.427247176
Flrt2	ENSMUSG00000047414.6	chr12	-2.376609985	0.193	4.126922351	8.62E-115	6.05E-112	3.867209564	3.841798528	3.677833727	0.85295426	0.635369626	0.724326269
Abcd2	ENSMUSG00000055782.8	chr15	-2.257709577	0.209	4.302055098	1.04E-112	7.16E-110	6.492453266	5.408605612	5.793265629	1.18185596	1.258923272	1.286096198
Dpt	ENSMUSG00000026574.5	chr1	-1.734006406	0.301	5.957724451	7.66E-112	5.23E-109	57.06138932	52.58767168	56.27443182	16.39799858	17.3054511	16.55310202
Crlf1	ENSMUSG00000007888.15	chr8	-1.987227449	0.252	4.940573487	9.50E-111	6.39E-108	32.69203472	26.5729081	30.07354311	7.523230187	7.03370408	8.170625793
Gxylt2	ENSMUSG00000030074.9	chr6	-2.363799189	0.194	4.011046863	5.97E-109	3.96E-106	3.301902824	3.17366668	3.042601981	0.754998118	0.617637512	0.49134262
Cacna1g	ENSMUSG00000020866.17	chr11	-1.86339607	0.275	5.192177818	1.61E-105	1.06E-102	5.754281556	5.140712582	6.04403302	1.58455016	1.501198298	1.608678132
Ptgfrn	ENSMUSG00000027864.9	chr3	-1.886951183	0.27	5.091739944	2.81E-105	1.81E-102	5.207585359	4.660194009	5.493664687	1.401996777	1.430366676	1.353616284
Ifi27l2a	ENSMUSG00000079017.3	chr12	-2.011675661	0.248	4.624958079	2.27E-103	1.44E-100	95.69808898	74.28656687	85.72622825	23.1282721	21.40711418	19.41652322
Colec12	ENSMUSG00000036103.8	chr18	-1.597200731	0.331	6.543946255	6.46E-103	4.07E-100	44.33097455	40.44160352	41.53732939	15.10198888	13.69740135	13.27904458
Akr1c14	ENSMUSG00000033715.14	chr13	-2.508133827	0.176	3.594151945	3.74E-101	2.29E-98	6.958570778	6.71624003	7.042649513	1.134592278	1.330166813	1.195468161
Amot	ENSMUSG00000041688.16	chrX	-2.198744625	0.218	4.107787303	1.44E-100	8.73E-98	3.921832403	2.788613822	3.373396497	0.860290792	0.548124326	0.814915595
Adamts2	ENSMUSG00000036545.8	chr11	-1.719413875	0.304	5.400348103	2.60E-100	1.56E-97	6.704871924	6.669689571	7.401462917	2.242384577	2.091113906	2.026617265
Igfbp7	ENSMUSG00000036256.13	chr5	-1.483797358	0.358	7.947385002	1.10E-98	6.49E-96	302.626981	276.1353973	320.4101596	107.8810504	110.5086311	105.6139235
Gas7	ENSMUSG00000033066.15	chr11	-1.739706294	0.299	5.192912064	2.70E-98	1.57E-95	5.387387412	4.619992014	4.852316415	1.61919316	1.429977794	1.437768491
Cnn2	ENSMUSG00000004665.10	chr10	-1.573275699	0.336	6.329676963	9.46E-98	5.46E-95	52.64724385	41.94473227	51.78248684	17.0637759	16.5028774	16.01991654
Dab2	ENSMUSG00000022150.16	chr15	-2.040221726	0.243	4.313543612	6.53E-96	3.72E-93	4.822107986	3.930073236	4.295816889	1.130346259	1.009069923	1.060708133
Ak4	ENSMUSG00000028527.18	chr4	1.818779724	3.528	5.028842996	1.05E-95	5.94E-93	2.559227478	3.87543456	2.786541418	10.87894979	10.78521478	11.01355429
Maged2	ENSMUSG00000025268.15	chrX	-1.530149142	0.346	6.613945178	1.43E-95	7.95E-93	49.74698269	39.30425596	45.29929284	17.25773254	14.06385469	15.58799253
Marcks	ENSMUSG00000069662.5	chr10	-1.475961334	0.359	7.288742876	2.42E-94	1.33E-91	59.85232857	50.68087689	59.37050702	21.28186695	20.29280132	19.98731528
Dclk1	ENSMUSG00000027797.15	chr3	-1.618489059	0.326	5.605922947	6.00E-93	3.26E-90	5.340281162	4.319889431	4.712575881	1.680186712	1.492316339	1.547905123
Fam102b	ENSMUSG00000040339.10	chr3	-1.559363988	0.339	6.040435535	9.95E-93	5.36E-90	19.15075816	15.97073138	16.45396532	6.141079487	6.066312246	5.426483718
Pdcd4	ENSMUSG00000024975.12	chr19	-1.535648317	0.345	6.252445906	1.40E-92	7.47E-90	48.12491524	40.03067427	44.52242729	15.75256116	15.68720575	14.68208065
Mmp14	ENSMUSG00000000957.9	chr14	-1.454492648	0.365	7.417016438	1.55E-92	8.15E-90	61.05842861	50.13813557	62.95564846	20.63712747	22.35670055	21.04522791
Dpysl3	ENSMUSG00000024501.19	chr18	-1.983260081	0.253	4.320258404	1.92E-91	9.98E-89	5.625532223	4.356975168	5.246896812	1.546862399	1.03072441	1.318135396
Hist1h4h	ENSMUSG00000060981.6	chr13	-1.579067797	0.335	5.751085105	5.26E-91	2.71E-88	183.7425318	146.1640932	180.442903	56.59825571	61.06447092	54.47657423
Gchfr	ENSMUSG00000046814.3	chr2	1.768373039	3.407	4.997743342	1.21E-90	6.10E-88	21.49299145	24.51522409	20.64993688	78.61120397	77.76459832	72.20079838
Rcn3	ENSMUSG00000019539.11	chr7	-1.555670881	0.34	5.879140032	2.92E-90	1.46E-87	57.48034368	42.0131009	53.49404033	17.52508785	19.38765471	15.52472413
Cbx6	ENSMUSG00000089715.11	chr15	-1.519211103	0.349	6.162671975	1.02E-89	5.04E-87	17.88607479	14.78970159	17.82952976	6.035173685	5.99264094	5.73353484
Slit3	ENSMUSG00000056427.10	chr11	-1.51933919	0.349	6.15391018	1.20E-89	5.88E-87	17.62071856	16.72206453	17.72089293	5.974600311	5.990134196	6.340563115
Abi3bp	ENSMUSG00000035258.14	chr16	-1.635124726	0.322	5.240871873	1.73E-88	8.37E-86	13.06234766	11.10307857	11.99432068	4.002925083	3.879895308	3.852382969
Fst	ENSMUSG00000021765.7	chr13	-1.714091787	0.305	5.031906892	1.17E-87	5.61E-85	22.90647346	20.22414678	21.11012033	6.873164301	6.468776656	6.396336915
Chchd10	ENSMUSG00000049422.6	chr10	2.284985079	4.874	3.658882562	1.36E-87	6.44E-85	3.918020744	4.978109507	4.53902766	21.09746695	23.13652143	21.65249862
Osr1	ENSMUSG00000048387.7	chr12	-2.022306566	0.246	4.083111202	3.21E-87	1.51E-84	13.60832085	11.85766055	15.02883914	3.835841187	3.362107824	2.860359619
Scara5	ENSMUSG00000022032.14	chr14	-1.390673722	0.381	7.77092918	1.18E-86	5.52E-84	53.38915895	50.48252281	51.30070632	19.08634748	20.37485041	20.17577146
Cmtm3	ENSMUSG00000031875.6	chr8	-1.755416279	0.296	4.776494437	1.45E-85	6.68E-83	28.63924741	24.39070573	25.31968498	8.249966291	8.115847186	7.018469032
Cdh26	ENSMUSG00000039155.15	chr2	-3.355573742	0.098	2.449381864	3.79E-85	1.73E-82	3.381128156	2.854804155	3.608391361	0.373300448	0.315771231	0.277644469
Adipoq	ENSMUSG00000022878.5	chr16	-1.330611864	0.398	10.92056973	7.04E-85	3.19E-82	2084.62054	1961.903704	1956.313115	824.6080612	800.0951004	780.4031127
Reck	ENSMUSG00000028476.13	chr4	-2.222489257	0.214	3.621649959	1.67E-84	7.48E-82	4.52972916	4.117772679	4.057913523	1.12035886	0.649424375	0.984304543
Dock11	ENSMUSG00000031093.14	chrX	-1.718101661	0.304	4.85741201	3.14E-84	1.39E-81	4.904900334	4.796608449	4.710733328	1.547153747	1.381472154	1.487674051
Nrg1	ENSMUSG00000062991.7	chr8	-2.226613726	0.214	3.578395591	1.59E-83	6.98E-81	2.142862252	1.644692556	1.899251561	0.501745642	0.34819627	0.37870668
Fmnl3	ENSMUSG00000023008.18	chr15	1.762054199	3.392	4.706314401	2.28E-83	9.94E-81	2.410565121	2.24124539	2.344987256	8.157656179	7.606909383	8.181940844
Krt79	ENSMUSG00000061397.7	chr15	1.723199446	3.302	4.847456394	2.80E-83	1.21E-80	6.02605579	7.155169673	5.741805053	21.44741913	20.3144494	21.11100898
Mterf4	ENSMUSG00000026273.13	chr1	-1.572286712	0.336	5.304950705	2.88E-83	1.24E-80	12.07798659	10.80610432	10.71399116	4.113923299	3.608814064	3.668873336
Rgs17	ENSMUSG00000019775.17	chr10	-2.599965776	0.165	3.040652487	1.72E-82	7.31E-80	1.966216012	1.530010001	1.592269898	0.290357646	0.229236671	0.327532141
Ifi205	ENSMUSG00000054203.7	chr1	-3.740260492	0.075	2.173010183	2.51E-82	1.06E-79	1.991330546	2.26581471	1.747408832	0.141001065	0.227700011	0.07507767
Vgll3	ENSMUSG00000091243.1	chr16	-1.945708841	0.26	4.086417251	4.61E-82	1.93E-79	8.602969716	7.64360204	8.066902194	2.01467301	2.124679417	2.218418586
Ctla2a	ENSMUSG00000044258.9	chr13	-1.809324455	0.285	4.441458266	8.50E-82	3.52E-79	23.92177534	27.19435501	22.73869379	7.136326899	7.437612646	6.623731531
Gem	ENSMUSG00000028214.13	chr4	-2.236275459	0.212	3.505862167	1.27E-81	5.21E-79	9.756593853	7.871929221	9.014521876	1.577757079	1.808180507	2.310261941
Col3a1	ENSMUSG00000026043.18	chr1	-1.305325019	0.405	10.37102641	1.53E-81	6.24E-79	204.4444007	175.6085642	194.1000663	80.35110677	76.43847888	77.31895688
Adh1	ENSMUSG00000074207.10	chr3	-1.781366915	0.291	4.513099849	2.20E-81	8.88E-79	15.54445493	14.55005688	17.32153326	4.62767413	4.505897006	4.77491291
Col1a2	ENSMUSG00000029661.16	chr6	-1.303506314	0.405	10.39098364	2.44E-81	9.78E-79	160.9829889	138.7649323	159.9419872	64.47353906	60.20582283	63.00506763
Ar	ENSMUSG00000046532.7	chrX	-2.504273437	0.176	3.109706285	4.33E-81	1.72E-78	1.582692502	1.700314904	1.552150599	0.353179089	0.286171789	0.218351991
Ahcy	ENSMUSG00000027597.15	chr2	1.369279637	2.583	7.106726843	1.12E-80	4.42E-78	26.973218	27.44530006	27.35067576	65.85373518	73.257859	73.78810055
Pdp1	ENSMUSG00000049225.14	chr4	-1.682367567	0.312	4.832119178	1.37E-80	5.36E-78	10.37517111	8.566108658	9.894100887	3.112489655	2.865537354	3.08473662
Fam162a	ENSMUSG00000003955.7	chr16	1.361322627	2.569	7.170566564	4.10E-80	1.59E-77	119.737182	139.5926364	119.8938587	320.4085191	318.1642347	343.0662502
Sh3tc2	ENSMUSG00000045629.7	chr18	2.014825593	4.041	3.910550523	1.47E-79	5.66E-77	1.198975637	1.513975805	1.162788112	4.992999297	4.71225469	6.049371669
Gulp1	ENSMUSG00000056870.9	chr1	-1.770261421	0.293	4.462188237	5.54E-79	2.11E-76	9.392570126	9.029538823	8.747155009	3.177183297	2.344389773	2.517362797
Tgm2	ENSMUSG00000037820.15	chr2	1.537806732	2.904	5.244423608	3.98E-78	1.50E-75	3.714289876	4.508530891	4.289432852	12.01440456	12.22120357	12.35206078
Fmo5	ENSMUSG00000028088.14	chr3	-2.065323385	0.239	3.669542593	3.32E-77	1.24E-74	3.748782659	3.335438959	3.745807581	0.783080501	0.785051354	1.04072644
Lox	ENSMUSG00000024529.13	chr18	-1.279843487	0.412	8.812417504	9.28E-77	3.46E-74	143.8841146	122.5450565	129.359705	55.15600037	52.60778416	56.50440132
Igf2	ENSMUSG00000048583.16	chr7	-1.473015666	0.36	5.503047778	1.33E-76	4.91E-74	12.27001975	11.18285824	11.41314037	4.1351637	4.425890828	4.091459708
Porcn	ENSMUSG00000031169.13	chrX	1.393955884	2.628	6.240027456	1.56E-76	5.71E-74	11.588029	16.10086552	13.69214715	31.33988801	37.30993313	40.83761431
Zfp521	ENSMUSG00000024420.8	chr18	-2.042202876	0.243	3.690621389	2.42E-76	8.81E-74	3.908799982	3.142487071	3.057009674	0.818098714	0.829961164	0.824099059
Ltbp2	ENSMUSG00000002020.15	chr12	-1.363286674	0.389	6.44871631	1.15E-75	4.15E-73	15.90974693	13.76446107	16.28771341	5.99926296	6.037059527	5.97131526
Arxes2	ENSMUSG00000048040.8	chrX	-1.309389219	0.403	7.345999032	1.53E-75	5.47E-73	154.2844649	153.2759243	144.946382	64.34120742	60.05658979	59.6016318
Elovl6	ENSMUSG00000041220.10	chr3	1.737620971	3.335	4.4589038	2.93E-75	1.04E-72	1.625027797	1.758824802	1.284078644	5.486572071	5.12956847	5.047044119
Adamtsl4	ENSMUSG00000015850.11	chr3	-1.720272172	0.303	4.438434774	6.78E-75	2.40E-72	7.90007443	7.010883672	8.794866162	2.270239896	2.599489009	2.378016937
Ptgis	ENSMUSG00000017969.13	chr2	-1.374702343	0.386	6.217995945	7.02E-75	2.46E-72	42.14435494	40.12891071	42.92033472	16.08135698	16.88752284	15.67793527
Car3	ENSMUSG00000027559.5	chr3	-3.256283513	0.105	2.283493924	1.72E-74	6.01E-72	3.089347019	2.4372819	3.607576408	0.299012635	0.26208403	0.401348889
C1ra	ENSMUSG00000055172.10	chr6	-1.657320086	0.317	4.629435404	3.20E-74	1.11E-71	13.02124876	12.19617347	12.52836727	4.274734679	3.828659966	3.962510935
Stard5	ENSMUSG00000046027.17	chr7	1.524498002	2.877	5.027947967	2.87E-73	9.80E-71	3.01751244	3.265959959	2.858995107	8.070517357	9.305663107	9.103573119
Steap4	ENSMUSG00000012428.9	chr5	-2.082113269	0.236	3.517838887	3.05E-73	1.03E-70	6.100860165	5.633734448	5.842721285	1.340670061	1.237568268	1.606927863
Prrx2	ENSMUSG00000039476.13	chr2	-1.6713347	0.314	4.520867858	5.30E-73	1.78E-70	18.97846405	14.53765555	19.75128027	4.750790048	6.075377795	6.023582405
Pgk1	ENSMUSG00000062070.12	chrX	1.224355997	2.337	10.29887177	3.68E-72	1.21E-69	317.8477248	381.0247055	306.4367813	773.0655868	759.3029856	835.147138
Cyp2e1	ENSMUSG00000025479.9	chr7	-2.297709506	0.203	3.143744264	4.06E-72	1.33E-69	7.83233139	5.482106143	6.986721462	1.637520247	1.159825065	1.380535014
Adcyap1r1	ENSMUSG00000029778.12	chr6	-1.481242517	0.358	5.123571828	9.85E-72	3.20E-69	8.222829358	6.792916956	8.2405167	2.757803813	2.783109269	2.858389973
G0s2	ENSMUSG00000009633.3	chr1	1.24041716	2.363	8.355518863	2.51E-71	8.01E-69	204.8287969	248.5272009	214.4530322	505.1138948	548.3396708	536.527455
Gapdh	ENSMUSG00000057666.18	chr6	1.3098656	2.479	6.634416494	3.26E-71	1.03E-68	12.83633102	14.80080985	13.54801738	33.90256058	33.84035596	35.13102706
Mturn	ENSMUSG00000038065.13	chr6	-1.793739874	0.288	4.059888109	6.67E-71	2.10E-68	4.20373998	4.428256083	4.976870477	1.175196442	1.353632954	1.422531789
Soat2	ENSMUSG00000023045.12	chr15	2.426618021	5.376	2.999610011	7.27E-71	2.27E-68	0.745218083	1.326947234	1.225030972	5.552140883	6.454735008	5.796923589
Prss23	ENSMUSG00000039405.7	chr7	-1.441957653	0.368	5.288183613	1.53E-70	4.74E-68	15.72539892	14.58432546	15.06233915	6.069129973	5.222408701	5.549941197
Ly6e	ENSMUSG00000022587.14	chr15	1.303337134	2.468	6.598137654	2.20E-70	6.78E-68	15.73929509	13.93927183	14.30477446	37.35484877	36.33971006	35.73298619
Sema3c	ENSMUSG00000028780.13	chr5	-1.603331964	0.329	4.646067488	2.42E-70	7.43E-68	5.959199326	4.752521974	5.073984491	1.912212497	1.738710974	1.588493831
Fgf10	ENSMUSG00000021732.14	chr13	-1.982103918	0.253	3.592789254	5.48E-70	1.67E-67	4.73973769	3.549598413	4.214903005	0.907687914	1.087981956	1.192781999
Ldha	ENSMUSG00000063229.15	chr7	1.20191784	2.3	10.50445332	8.54E-70	2.59E-67	234.9264383	308.3693471	251.1576335	596.4346758	617.906888	627.8304748
Pcolce	ENSMUSG00000029718.14	chr5	-1.235080677	0.425	7.933273392	9.60E-70	2.89E-67	89.95776341	80.88042609	97.41174253	38.87848625	39.43888204	36.53054625
Plpp3	ENSMUSG00000028517.8	chr4	-1.242850173	0.423	7.659201701	1.13E-69	3.37E-67	93.38868859	85.31242245	90.24512682	38.8132527	37.82480687	37.88871418
Pear1	ENSMUSG00000028073.15	chr3	-1.908702756	0.266	3.72887146	2.18E-69	6.46E-67	3.145208781	2.73184659	3.354845814	0.726420792	0.900616735	0.847857666
Col16a1	ENSMUSG00000040690.15	chr4	-1.448238019	0.366	5.133820296	6.20E-69	1.83E-66	7.954427544	6.745563729	8.066507788	2.823842099	2.907074893	2.679145725
Cemip	ENSMUSG00000052353.13	chr7	-2.777686894	0.146	2.499614015	1.38E-68	4.04E-66	0.945900585	0.693529408	0.762217667	0.12256169	0.114586772	0.115369312
Frmd6	ENSMUSG00000048285.8	chr12	-1.543331326	0.343	4.759083802	6.89E-68	2.00E-65	9.016199928	8.000030092	8.871850994	2.906891272	3.136684667	2.904944624
Gpx8	ENSMUSG00000021760.3	chr13	-1.454693755	0.365	5.021844875	9.50E-68	2.74E-65	48.75343709	46.00831523	45.46360021	18.7080632	16.25901224	16.61624262
Bhlhe40	ENSMUSG00000030103.11	chr6	1.270559499	2.413	6.709261141	1.08E-67	3.11E-65	12.2957024	14.66954255	11.90094705	30.31578205	31.93927004	32.1819887
Tns3	ENSMUSG00000020422.13	chr11	-1.255940035	0.419	6.909459721	1.15E-67	3.28E-65	15.38731024	13.88798469	16.03260213	6.535929317	6.115122165	6.473725733
Cyp2b10	ENSMUSG00000030483.14	chr7	2.255505237	4.775	3.118788104	2.47E-67	6.98E-65	1.287536338	1.475519201	1.387417634	6.337825509	6.707589062	6.929280276
Nnt	ENSMUSG00000025453.16	chr13	-1.414597445	0.375	5.227145456	3.22E-67	9.08E-65	8.615017147	7.18392144	7.358971964	3.111930867	2.802738614	2.844691883
